VICTIM AGE,EDUCATION LEVEL,SOCIAL MEDIA PLATFORM,LOCATION (STATE),INCIDENT YEAR,TYPE OF HARASSMENT,DURATION (MONTHS),ACTION TAKEN,OUTCOME/RESULTS
37,High School,Facebook,Negeri Sembilan,2021,Requests for sex,5,Reported to platform,User banned
34,High School,WhatsApp,Kuala Lumpur,2019,Be mindful of sharing personal information,7,Reported to platform,Warning issued
26,Certification course,WhatsApp,Perlis,2020,Spreading sexual rumours,6,Reported to authorities,Warning issued
33,Diploma,Tinder,Perlis,2022,Offensive name-calling,5,Ignored,Warning issued
35,Secondary School,Twitter,Selangor,2020,Threat,8,Ignored,No action
41,Bachelor's Degree,TikTok,Johor,2020,Sexual photos,1,Blocked user,Warning issued
32,Diploma,Instagram,Perlis,2019,Sexual photos,4,Ignored,still continues
25,High School,WhatsApp,Sarawak,2022,Spreading sexual rumours,8,Reported to authorities,No action
32,Secondary School,TikTok,Kuala Lumpur,2022,Unwanted flirting,2,Ignored,User banned
39,Bachelor's Degree,Tinder,Penang,2022,Comments about physical appearance,3,Blocked user,still continues
34,Diploma,TikTok,Penang,2020,discussing their own sex life,4,Blocked user,Warning issued
28,Secondary School,WhatsApp,Melaka,2018,Stalking,8,Ignored,User banned
33,No Formal Education,Bumble,Selangor,2019,Threat,9,Blocked user,Warning issued
35,Bachelor's Degree,Instagram,Perlis,2020,discussing their own sex life,5,Reported to platform,still continues
31,Secondary School,Instagram,Negeri Sembilan,2022,Offensive name-calling,5,Ignored,No action
18,High School,Twitter,Perlis,2018,Threat,2,Reported to platform,Warning issued
36,Diploma,Twitter,Penang,2020,Sexting,9,Blocked user,No action
19,Certification course,Facebook,Terengganu,2020,Spreading sexual rumours,4,Blocked user,No action
28,Diploma,Twitter,Sarawak,2018,Threat,11,Blocked user,Warning issued
24,High School,Tinder,Sarawak,2021,Requests for sex,7,Reported to platform,No action
27,High School,TikTok,Kedah,2019,Spreading sexual rumours,7,Reported to authorities,No action
20,Diploma,Other,Sarawak,2019,Sharing explicit images without consent,10,Reported to platform,Warning issued
45,Secondary School,Tinder,Perak,2018,Be mindful of sharing personal information,1,Reported to authorities,Warning issued
44,Certification course,Tinder,Sarawak,2019,Spreading sexual rumours,8,Ignored,Warning issued
27,Secondary School,TikTok,Selangor,2019,Threat,8,Reported to authorities,Warning issued
20,Certification course,Instagram,Johor,2022,Sexual photos,1,Blocked user,Warning issued
42,Bachelor's Degree,Tinder,Perak,2019,Sharing explicit images without consent,8,Reported to authorities,User banned
35,No Formal Education,WhatsApp,Negeri Sembilan,2021,Sexual photos,1,Blocked user,User banned
33,Secondary School,Other,Kedah,2021,Comments about physical appearance,9,Reported to platform,Warning issued
34,Certification course,WhatsApp,Penang,2018,Sexual photos,11,Reported to platform,No action
18,Bachelor's Degree,Tinder,Kedah,2022,Making sexual jokes,5,Reported to authorities,still continues
33,High School,Facebook,Melaka,2019,Sharing explicit images without consent,1,Reported to platform,No action
43,Certification course,Tinder,Perlis,2022,Unwanted flirting,9,Reported to authorities,User banned
19,Secondary School,Facebook,Negeri Sembilan,2018,Requests for sex,8,Reported to platform,still continues
44,Bachelor's Degree,Other,Melaka,2019,Requests for sex,1,Reported to authorities,User banned
25,Secondary School,Tinder,Kedah,2018,Be mindful of sharing personal information,11,Reported to platform,Warning issued
44,High School,Facebook,Pahang,2021,Sexual photos,11,Reported to platform,User banned
31,Bachelor's Degree,Bumble,Negeri Sembilan,2022,Unwanted flirting,9,Blocked user,No action
41,Certification course,Instagram,Sabah,2022,Be mindful of sharing personal information,5,Reported to platform,User banned
41,Certification course,TikTok,Johor,2021,discussing their own sex life,1,Reported to platform,No action
29,Bachelor's Degree,Other,Sabah,2021,Unwanted flirting,6,Ignored,User banned
20,Bachelor's Degree,TikTok,Perak,2020,Offensive name-calling,8,Reported to platform,User banned
25,High School,Facebook,Negeri Sembilan,2019,Sexual photos,4,Reported to authorities,Warning issued
24,Secondary School,Instagram,Pahang,2021,Offensive name-calling,10,Blocked user,No action
33,Bachelor's Degree,WhatsApp,Pahang,2020,Threat,2,Reported to authorities,No action
41,No Formal Education,Twitter,Sarawak,2022,Sexting,3,Reported to authorities,No action
29,Secondary School,Tinder,Perlis,2018,Stalking,2,Blocked user,User banned
26,High School,Tinder,Melaka,2020,Sharing explicit images without consent,7,Reported to authorities,Warning issued
23,Certification course,Twitter,Kuala Lumpur,2018,Requests for sex,6,Blocked user,User banned
43,Diploma,Bumble,Perlis,2019,Sexual photos,9,Reported to platform,Warning issued
18,No Formal Education,Instagram,Penang,2021,Unwanted flirting,6,Blocked user,No action
30,Certification course,WhatsApp,Kuala Lumpur,2022,Requests for sex,7,Reported to authorities,still continues
18,High School,Tinder,Kuala Lumpur,2022,discussing their own sex life,5,Reported to authorities,still continues
45,Secondary School,Twitter,Johor,2020,Offensive name-calling,8,Blocked user,No action
35,Diploma,Instagram,Kelantan,2019,Sexting,7,Reported to platform,still continues
29,Certification course,Other,Pahang,2018,Indecent exposure,8,Ignored,User banned
32,Certification course,Bumble,Kelantan,2018,Sexting,11,Blocked user,still continues
38,Certification course,Bumble,Perlis,2020,Be mindful of sharing personal information,10,Reported to authorities,User banned
34,High School,Instagram,Perlis,2022,Stalking,2,Reported to authorities,User banned
45,Bachelor's Degree,Instagram,Sabah,2022,Requests for sex,8,Ignored,still continues
31,Certification course,Instagram,Melaka,2020,Sexting,11,Blocked user,Warning issued
32,Diploma,TikTok,Kedah,2019,Indecent exposure,8,Ignored,User banned
43,Secondary School,Bumble,Melaka,2022,Stalking,10,Blocked user,User banned
38,Secondary School,Facebook,Perak,2020,Sexting,9,Ignored,Warning issued
36,Certification course,Tinder,Penang,2018,Offensive name-calling,6,Blocked user,Warning issued
42,Certification course,WhatsApp,Terengganu,2021,Sexual photos,8,Reported to platform,still continues
32,High School,Instagram,Kedah,2022,Spreading sexual rumours,7,Reported to platform,No action
36,Secondary School,Bumble,Terengganu,2022,Indecent exposure,6,Ignored,No action
35,Secondary School,Bumble,Kedah,2022,Be mindful of sharing personal information,10,Ignored,still continues
18,Secondary School,WhatsApp,Terengganu,2019,Comments about physical appearance,12,Blocked user,Warning issued
42,Secondary School,Instagram,Negeri Sembilan,2018,discussing their own sex life,2,Ignored,still continues
20,Certification course,Twitter,Kelantan,2019,Stalking,1,Reported to authorities,Warning issued
45,No Formal Education,Bumble,Perlis,2019,Sharing explicit images without consent,2,Reported to platform,Warning issued
23,High School,Facebook,Pahang,2021,Threat,8,Reported to authorities,Warning issued
26,High School,Twitter,Terengganu,2022,Comments about physical appearance,10,Ignored,User banned
36,Secondary School,WhatsApp,Terengganu,2022,discussing their own sex life,1,Ignored,Warning issued
36,High School,Instagram,Johor,2021,Unwanted flirting,10,Reported to platform,still continues
20,Diploma,Twitter,Penang,2020,Indecent exposure,7,Ignored,Warning issued
22,High School,TikTok,Selangor,2020,Comments about physical appearance,10,Reported to platform,Warning issued
36,Bachelor's Degree,Instagram,Johor,2022,Stalking,2,Ignored,No action
35,Secondary School,WhatsApp,Perak,2020,Sexting,2,Reported to authorities,still continues
28,Secondary School,Facebook,Negeri Sembilan,2019,Unwanted flirting,8,Reported to authorities,Warning issued
22,Diploma,Instagram,Johor,2021,discussing their own sex life,4,Ignored,Warning issued
39,No Formal Education,Tinder,Negeri Sembilan,2018,Making sexual jokes,3,Blocked user,No action
39,No Formal Education,TikTok,Terengganu,2019,Comments about physical appearance,1,Blocked user,User banned
32,High School,Instagram,Kuala Lumpur,2019,Threat,2,Ignored,No action
21,High School,TikTok,Negeri Sembilan,2018,Making sexual jokes,2,Reported to platform,Warning issued
23,Secondary School,Twitter,Kuala Lumpur,2022,Sharing explicit images without consent,3,Blocked user,Warning issued
40,Bachelor's Degree,Other,Melaka,2018,Requests for sex,7,Reported to platform,still continues
36,No Formal Education,Facebook,Penang,2021,Sharing explicit images without consent,8,Reported to platform,Warning issued
34,High School,Other,Johor,2018,Comments about physical appearance,10,Reported to authorities,Warning issued
23,Secondary School,Other,Kedah,2022,Sharing explicit images without consent,4,Ignored,No action
29,Bachelor's Degree,TikTok,Selangor,2021,discussing their own sex life,1,Reported to authorities,Warning issued
25,Certification course,Facebook,Kuala Lumpur,2018,Stalking,7,Blocked user,User banned
21,Secondary School,Tinder,Johor,2022,Threat,11,Blocked user,No action
43,Secondary School,Instagram,Perlis,2020,Spreading sexual rumours,4,Reported to authorities,No action
21,Bachelor's Degree,Bumble,Perak,2019,Unwanted flirting,3,Reported to authorities,No action
38,Secondary School,WhatsApp,Penang,2022,Requests for sex,1,Ignored,User banned
18,High School,Twitter,Kuala Lumpur,2019,Indecent exposure,8,Reported to platform,No action
45,No Formal Education,Twitter,Selangor,2022,Spreading sexual rumours,10,Reported to authorities,Warning issued
37,High School,Twitter,Penang,2020,Offensive name-calling,5,Reported to authorities,User banned
32,Certification course,Facebook,Perak,2019,Sharing explicit images without consent,8,Blocked user,Warning issued
20,Secondary School,Facebook,Negeri Sembilan,2019,Offensive name-calling,1,Reported to authorities,Warning issued
36,High School,Facebook,Sarawak,2020,Sexual photos,11,Reported to authorities,Warning issued
41,No Formal Education,Bumble,Terengganu,2021,discussing their own sex life,3,Reported to authorities,still continues
28,Bachelor's Degree,Instagram,Perlis,2018,Threat,1,Reported to authorities,still continues
22,No Formal Education,Instagram,Negeri Sembilan,2018,discussing their own sex life,1,Ignored,still continues
26,Diploma,Facebook,Terengganu,2020,Indecent exposure,9,Blocked user,User banned
20,Diploma,Bumble,Terengganu,2019,Comments about physical appearance,4,Ignored,No action
44,Certification course,Bumble,Melaka,2018,Sexual photos,12,Blocked user,No action
24,No Formal Education,Bumble,Negeri Sembilan,2022,Sexual photos,7,Ignored,still continues
28,Certification course,Other,Perak,2021,Offensive name-calling,8,Ignored,still continues
39,High School,Tinder,Pahang,2021,Threat,8,Blocked user,Warning issued
18,Certification course,Tinder,Terengganu,2019,Indecent exposure,10,Reported to authorities,No action
45,Bachelor's Degree,WhatsApp,Johor,2018,Comments about physical appearance,10,Ignored,User banned
32,High School,Tinder,Kedah,2019,Threat,12,Blocked user,No action
26,Bachelor's Degree,TikTok,Sabah,2019,discussing their own sex life,9,Reported to authorities,No action
26,Secondary School,TikTok,Sarawak,2020,discussing their own sex life,11,Reported to platform,Warning issued
22,No Formal Education,Tinder,Perlis,2018,Sexting,8,Blocked user,User banned
18,Secondary School,Tinder,Perlis,2018,Threat,1,Reported to platform,User banned
33,High School,TikTok,Kedah,2020,Stalking,11,Reported to authorities,Warning issued
28,Certification course,Bumble,Penang,2019,Sexting,4,Blocked user,still continues
36,Certification course,TikTok,Kelantan,2020,Unwanted flirting,3,Blocked user,Warning issued
36,Certification course,Tinder,Kedah,2019,Spreading sexual rumours,12,Ignored,still continues
43,High School,Tinder,Kuala Lumpur,2019,Sexting,12,Reported to authorities,User banned
33,High School,Facebook,Perlis,2018,Sexting,11,Ignored,Warning issued
39,Bachelor's Degree,Bumble,Kuala Lumpur,2021,discussing their own sex life,6,Reported to authorities,No action
27,Secondary School,Other,Sabah,2022,Threat,6,Reported to authorities,Warning issued
41,Bachelor's Degree,TikTok,Negeri Sembilan,2022,Offensive name-calling,11,Reported to platform,Warning issued
45,Diploma,WhatsApp,Perlis,2019,Spreading sexual rumours,4,Reported to authorities,No action
30,Certification course,TikTok,Selangor,2018,Unwanted flirting,12,Blocked user,No action
43,Diploma,Instagram,Kuala Lumpur,2018,discussing their own sex life,5,Blocked user,Warning issued
43,Diploma,Facebook,Terengganu,2019,Threat,4,Reported to platform,Warning issued
26,Secondary School,Other,Melaka,2019,Sexting,9,Reported to authorities,Warning issued
32,High School,Twitter,Pahang,2021,Threat,5,Reported to authorities,No action
39,Diploma,WhatsApp,Kuala Lumpur,2019,Threat,9,Blocked user,User banned
32,High School,Tinder,Kelantan,2021,Threat,5,Ignored,still continues
29,Certification course,Other,Perak,2022,Sexual photos,12,Reported to authorities,Warning issued
39,Secondary School,Instagram,Melaka,2022,Comments about physical appearance,9,Ignored,User banned
38,Secondary School,TikTok,Terengganu,2021,Requests for sex,11,Reported to platform,No action
42,Bachelor's Degree,Instagram,Melaka,2022,Offensive name-calling,4,Blocked user,still continues
37,Diploma,WhatsApp,Penang,2022,Unwanted flirting,7,Ignored,Warning issued
19,No Formal Education,TikTok,Selangor,2022,Making sexual jokes,5,Reported to platform,No action
19,Bachelor's Degree,Instagram,Johor,2022,Spreading sexual rumours,7,Reported to platform,User banned
21,Certification course,WhatsApp,Sarawak,2021,Sexting,1,Reported to authorities,Warning issued
20,Certification course,Other,Sarawak,2020,Threat,7,Ignored,Warning issued
38,Secondary School,Other,Negeri Sembilan,2022,Making sexual jokes,10,Reported to platform,still continues
28,No Formal Education,TikTok,Johor,2019,Making sexual jokes,10,Reported to authorities,No action
21,Diploma,Instagram,Perlis,2020,Indecent exposure,1,Reported to platform,still continues
42,No Formal Education,Bumble,Penang,2020,Unwanted flirting,3,Reported to platform,still continues
37,High School,Instagram,Sabah,2022,Sharing explicit images without consent,12,Ignored,still continues
40,Diploma,Bumble,Kelantan,2020,Be mindful of sharing personal information,1,Blocked user,User banned
45,No Formal Education,Bumble,Selangor,2021,Sexting,4,Reported to platform,No action
27,High School,Other,Penang,2019,Sexual photos,6,Blocked user,still continues
27,Secondary School,Bumble,Negeri Sembilan,2020,Stalking,9,Blocked user,User banned
19,Secondary School,Tinder,Sarawak,2021,Sexual photos,9,Reported to authorities,still continues
24,Diploma,Tinder,Pahang,2018,Stalking,2,Blocked user,Warning issued
34,High School,TikTok,Pahang,2018,Offensive name-calling,4,Blocked user,No action
41,Bachelor's Degree,Instagram,Selangor,2021,Making sexual jokes,5,Reported to authorities,No action
39,Certification course,Other,Perak,2022,Sharing explicit images without consent,9,Reported to platform,still continues
39,No Formal Education,Facebook,Pahang,2019,Sexual photos,10,Reported to platform,No action
29,Certification course,Instagram,Penang,2019,Unwanted flirting,7,Reported to authorities,Warning issued
23,Secondary School,TikTok,Selangor,2020,Threat,4,Reported to authorities,User banned
31,High School,Other,Kuala Lumpur,2021,Spreading sexual rumours,1,Blocked user,still continues
28,Diploma,TikTok,Selangor,2019,Unwanted flirting,4,Reported to authorities,No action
40,Certification course,Bumble,Johor,2020,Sexting,11,Ignored,still continues
26,Secondary School,Bumble,Johor,2022,Comments about physical appearance,2,Blocked user,still continues
28,Bachelor's Degree,WhatsApp,Terengganu,2020,Offensive name-calling,1,Reported to authorities,User banned
28,No Formal Education,Other,Sarawak,2020,Comments about physical appearance,7,Reported to platform,No action
25,Certification course,Facebook,Kuala Lumpur,2022,Comments about physical appearance,4,Ignored,User banned
44,High School,Facebook,Sabah,2018,Sexual photos,12,Reported to platform,User banned
41,Certification course,WhatsApp,Penang,2018,Offensive name-calling,8,Reported to authorities,No action
22,Bachelor's Degree,Bumble,Selangor,2018,Sexting,8,Blocked user,still continues
21,Secondary School,Twitter,Negeri Sembilan,2020,Sharing explicit images without consent,7,Reported to platform,still continues
38,No Formal Education,Twitter,Penang,2022,Indecent exposure,12,Reported to platform,Warning issued
20,Bachelor's Degree,Other,Selangor,2021,Spreading sexual rumours,11,Ignored,Warning issued
20,High School,WhatsApp,Kuala Lumpur,2019,Unwanted flirting,12,Blocked user,No action
31,Diploma,Tinder,Pahang,2018,Sexual photos,8,Blocked user,Warning issued
32,Diploma,Bumble,Kedah,2018,Unwanted flirting,8,Ignored,No action
36,No Formal Education,Facebook,Melaka,2020,discussing their own sex life,10,Reported to platform,No action
40,Diploma,WhatsApp,Penang,2019,Making sexual jokes,12,Reported to authorities,Warning issued
41,Bachelor's Degree,Tinder,Kedah,2019,Sharing explicit images without consent,3,Reported to platform,Warning issued
29,Secondary School,WhatsApp,Penang,2020,Indecent exposure,3,Blocked user,No action
33,Certification course,Twitter,Sarawak,2020,Unwanted flirting,3,Reported to authorities,Warning issued
43,Certification course,WhatsApp,Sabah,2018,Requests for sex,12,Blocked user,Warning issued
31,Certification course,WhatsApp,Perlis,2018,Be mindful of sharing personal information,2,Ignored,Warning issued
18,Diploma,Twitter,Negeri Sembilan,2022,Requests for sex,11,Reported to authorities,User banned
36,Certification course,TikTok,Perak,2022,Spreading sexual rumours,3,Blocked user,No action
24,No Formal Education,Facebook,Terengganu,2018,Threat,10,Ignored,No action
36,Diploma,TikTok,Kelantan,2022,discussing their own sex life,3,Reported to platform,Warning issued
21,Bachelor's Degree,WhatsApp,Negeri Sembilan,2021,Sexting,9,Reported to platform,No action
30,High School,Twitter,Sarawak,2018,Unwanted flirting,8,Ignored,User banned
34,Bachelor's Degree,Twitter,Kelantan,2021,Unwanted flirting,5,Reported to authorities,User banned
42,No Formal Education,Other,Negeri Sembilan,2020,Sharing explicit images without consent,9,Reported to platform,No action
38,High School,TikTok,Perlis,2019,Making sexual jokes,9,Ignored,still continues
43,Certification course,Twitter,Pahang,2020,Comments about physical appearance,9,Blocked user,User banned
41,Bachelor's Degree,Facebook,Pahang,2021,Sexting,10,Reported to platform,Warning issued
23,No Formal Education,Facebook,Perlis,2019,discussing their own sex life,8,Reported to platform,User banned
43,Bachelor's Degree,Bumble,Pahang,2021,Comments about physical appearance,7,Reported to authorities,still continues
39,Certification course,TikTok,Terengganu,2018,Sexting,7,Blocked user,No action
36,Secondary School,TikTok,Sabah,2020,Spreading sexual rumours,10,Ignored,User banned
42,High School,WhatsApp,Pahang,2018,Sharing explicit images without consent,7,Blocked user,still continues
37,Diploma,Instagram,Kedah,2022,Unwanted flirting,4,Reported to platform,No action
24,Certification course,Bumble,Terengganu,2022,Offensive name-calling,10,Ignored,User banned
22,High School,WhatsApp,Kuala Lumpur,2020,Making sexual jokes,5,Reported to platform,still continues
28,High School,TikTok,Kelantan,2021,Sharing explicit images without consent,5,Blocked user,Warning issued
39,Secondary School,Twitter,Johor,2022,Sexting,6,Ignored,Warning issued
20,High School,TikTok,Negeri Sembilan,2019,Be mindful of sharing personal information,7,Reported to authorities,No action
23,No Formal Education,Bumble,Sabah,2019,Sexual photos,11,Blocked user,No action
18,Diploma,WhatsApp,Johor,2019,Unwanted flirting,1,Reported to platform,No action
34,High School,TikTok,Pahang,2022,Unwanted flirting,4,Reported to authorities,Warning issued
34,Secondary School,TikTok,Sarawak,2018,Threat,9,Reported to platform,Warning issued
30,Secondary School,Tinder,Penang,2018,Requests for sex,9,Reported to platform,still continues
32,Secondary School,Bumble,Perak,2020,Sexual photos,10,Ignored,No action
40,Diploma,Twitter,Penang,2022,Offensive name-calling,4,Blocked user,still continues
45,High School,Twitter,Terengganu,2021,Indecent exposure,1,Blocked user,User banned
30,High School,Twitter,Perlis,2019,Sexting,2,Blocked user,Warning issued
32,Diploma,WhatsApp,Terengganu,2018,Sexting,5,Blocked user,User banned
24,Bachelor's Degree,Tinder,Kelantan,2022,discussing their own sex life,5,Ignored,still continues
22,Secondary School,Instagram,Sabah,2021,Sexual photos,7,Reported to authorities,Warning issued
37,High School,WhatsApp,Pahang,2020,Comments about physical appearance,5,Reported to platform,still continues
34,High School,Bumble,Penang,2022,Sexual photos,10,Blocked user,No action
19,No Formal Education,Twitter,Perak,2019,Making sexual jokes,1,Ignored,User banned
32,Certification course,Instagram,Sabah,2021,Offensive name-calling,8,Blocked user,Warning issued
36,No Formal Education,Facebook,Penang,2019,Unwanted flirting,6,Blocked user,still continues
34,Diploma,Twitter,Perak,2020,discussing their own sex life,8,Blocked user,User banned
19,Diploma,Facebook,Negeri Sembilan,2021,Sharing explicit images without consent,6,Reported to platform,Warning issued
18,High School,WhatsApp,Selangor,2019,Sexting,5,Ignored,still continues
32,No Formal Education,Other,Sarawak,2019,Be mindful of sharing personal information,3,Reported to platform,User banned
25,Diploma,Facebook,Sabah,2019,Sexual photos,12,Reported to authorities,still continues
35,High School,Twitter,Pahang,2022,Sharing explicit images without consent,4,Reported to platform,User banned
42,Bachelor's Degree,TikTok,Kuala Lumpur,2021,Sharing explicit images without consent,11,Reported to authorities,Warning issued
31,Diploma,WhatsApp,Kedah,2022,Sexting,9,Reported to authorities,Warning issued
31,No Formal Education,Facebook,Selangor,2020,Threat,3,Reported to authorities,No action
20,Bachelor's Degree,Other,Selangor,2022,Unwanted flirting,5,Reported to platform,No action
37,Bachelor's Degree,Facebook,Selangor,2020,Threat,6,Blocked user,User banned
21,Bachelor's Degree,Tinder,Kuala Lumpur,2022,Threat,3,Reported to platform,No action
23,High School,WhatsApp,Perlis,2019,Comments about physical appearance,8,Ignored,No action
33,Certification course,Bumble,Sarawak,2021,Indecent exposure,3,Reported to platform,User banned
43,Certification course,WhatsApp,Johor,2021,Indecent exposure,5,Blocked user,Warning issued
22,Bachelor's Degree,WhatsApp,Pahang,2020,Requests for sex,11,Blocked user,Warning issued
21,Certification course,TikTok,Kelantan,2019,Spreading sexual rumours,10,Reported to platform,Warning issued
26,No Formal Education,Instagram,Kuala Lumpur,2021,Offensive name-calling,1,Blocked user,User banned
19,Certification course,Bumble,Selangor,2020,Unwanted flirting,9,Reported to platform,No action
33,Bachelor's Degree,Twitter,Negeri Sembilan,2021,Offensive name-calling,6,Reported to authorities,Warning issued
30,High School,Facebook,Sarawak,2019,Making sexual jokes,12,Blocked user,User banned
20,Secondary School,Bumble,Pahang,2021,discussing their own sex life,8,Ignored,still continues
19,Bachelor's Degree,Facebook,Johor,2021,Unwanted flirting,3,Reported to authorities,Warning issued
43,Secondary School,TikTok,Sabah,2022,discussing their own sex life,8,Reported to authorities,still continues
28,Certification course,Other,Sarawak,2022,Unwanted flirting,4,Blocked user,Warning issued
28,Secondary School,Instagram,Johor,2020,Unwanted flirting,10,Reported to authorities,still continues
24,Bachelor's Degree,Twitter,Perak,2018,Making sexual jokes,11,Reported to authorities,No action
27,Diploma,TikTok,Johor,2019,Unwanted flirting,8,Blocked user,User banned
36,No Formal Education,Twitter,Sabah,2018,Requests for sex,5,Blocked user,still continues
33,Bachelor's Degree,WhatsApp,Selangor,2021,Unwanted flirting,7,Ignored,still continues
36,Certification course,TikTok,Johor,2022,Offensive name-calling,11,Reported to authorities,No action
41,High School,TikTok,Sarawak,2019,Stalking,6,Reported to platform,User banned
20,High School,TikTok,Kelantan,2022,Sharing explicit images without consent,3,Blocked user,User banned
19,No Formal Education,Twitter,Melaka,2021,Indecent exposure,7,Blocked user,still continues
43,No Formal Education,Facebook,Kuala Lumpur,2019,Requests for sex,3,Reported to authorities,No action
20,Secondary School,TikTok,Negeri Sembilan,2021,Unwanted flirting,9,Reported to platform,still continues
42,Diploma,Tinder,Kelantan,2022,Sexual photos,7,Reported to authorities,User banned
19,No Formal Education,Bumble,Melaka,2019,Making sexual jokes,4,Reported to authorities,still continues
26,Secondary School,TikTok,Melaka,2018,Comments about physical appearance,3,Ignored,Warning issued
20,Secondary School,Instagram,Sabah,2021,Offensive name-calling,10,Ignored,User banned
20,Bachelor's Degree,TikTok,Kuala Lumpur,2020,discussing their own sex life,3,Reported to platform,Warning issued
31,Bachelor's Degree,Other,Perlis,2022,Making sexual jokes,2,Reported to authorities,still continues
28,High School,Instagram,Kelantan,2019,Spreading sexual rumours,1,Blocked user,still continues
43,Diploma,TikTok,Kuala Lumpur,2019,Indecent exposure,10,Reported to authorities,User banned
19,Diploma,Bumble,Pahang,2020,Unwanted flirting,3,Reported to authorities,No action
29,No Formal Education,Twitter,Negeri Sembilan,2020,Indecent exposure,7,Ignored,No action
35,No Formal Education,Bumble,Sabah,2019,Comments about physical appearance,12,Reported to authorities,Warning issued
30,No Formal Education,Twitter,Selangor,2021,Sexual photos,6,Blocked user,still continues
21,Diploma,Tinder,Negeri Sembilan,2018,Be mindful of sharing personal information,2,Reported to authorities,User banned
30,Secondary School,Twitter,Kedah,2022,Comments about physical appearance,8,Reported to platform,Warning issued
45,No Formal Education,Twitter,Kelantan,2020,Sexting,11,Reported to platform,still continues
27,No Formal Education,Twitter,Perlis,2022,discussing their own sex life,9,Ignored,No action
43,Bachelor's Degree,TikTok,Kelantan,2019,Making sexual jokes,12,Ignored,Warning issued
34,Secondary School,Twitter,Perlis,2018,Indecent exposure,4,Reported to authorities,No action
43,Bachelor's Degree,Instagram,Kelantan,2018,Threat,12,Reported to platform,No action
19,Bachelor's Degree,WhatsApp,Terengganu,2019,Sharing explicit images without consent,7,Reported to authorities,User banned
23,High School,WhatsApp,Sabah,2019,discussing their own sex life,5,Ignored,still continues
43,High School,Tinder,Kedah,2019,Indecent exposure,1,Blocked user,No action
36,Secondary School,Facebook,Perak,2018,Stalking,4,Reported to platform,User banned
40,High School,Tinder,Pahang,2020,Sexual photos,1,Blocked user,still continues
31,High School,TikTok,Sabah,2020,Comments about physical appearance,4,Ignored,still continues
44,High School,WhatsApp,Sabah,2018,Sexting,8,Reported to platform,still continues
31,Bachelor's Degree,Tinder,Negeri Sembilan,2018,Be mindful of sharing personal information,7,Reported to platform,User banned
42,Certification course,Instagram,Penang,2022,Indecent exposure,12,Blocked user,User banned
19,No Formal Education,Facebook,Kuala Lumpur,2020,Indecent exposure,11,Ignored,User banned
32,Bachelor's Degree,Other,Kelantan,2021,Making sexual jokes,7,Reported to platform,still continues
35,Certification course,WhatsApp,Sabah,2019,Sharing explicit images without consent,3,Ignored,No action
28,Certification course,TikTok,Johor,2022,Sexting,6,Ignored,still continues
29,High School,WhatsApp,Sarawak,2019,Offensive name-calling,4,Reported to platform,still continues
19,Certification course,Facebook,Negeri Sembilan,2020,Spreading sexual rumours,12,Ignored,User banned
23,Bachelor's Degree,TikTok,Selangor,2021,Stalking,6,Reported to authorities,Warning issued
33,Certification course,Twitter,Selangor,2018,Be mindful of sharing personal information,8,Reported to platform,User banned
32,Diploma,TikTok,Pahang,2020,Sharing explicit images without consent,12,Blocked user,User banned
26,High School,Instagram,Negeri Sembilan,2019,Unwanted flirting,8,Reported to platform,Warning issued
24,Secondary School,Other,Penang,2022,Unwanted flirting,1,Reported to platform,still continues
34,Bachelor's Degree,Twitter,Kelantan,2021,Comments about physical appearance,2,Blocked user,User banned
34,Certification course,Bumble,Negeri Sembilan,2018,Making sexual jokes,7,Reported to authorities,Warning issued
24,Certification course,Twitter,Negeri Sembilan,2019,Requests for sex,4,Ignored,No action
39,Certification course,TikTok,Johor,2018,Sharing explicit images without consent,5,Blocked user,No action
24,Secondary School,Facebook,Terengganu,2018,Sexting,8,Blocked user,No action
29,Bachelor's Degree,Instagram,Perak,2019,Sharing explicit images without consent,7,Reported to platform,still continues
18,Certification course,Tinder,Pahang,2019,discussing their own sex life,7,Reported to platform,still continues
30,High School,Facebook,Kuala Lumpur,2019,Stalking,12,Blocked user,No action
29,Secondary School,Other,Kuala Lumpur,2018,Indecent exposure,4,Reported to authorities,User banned
45,High School,Twitter,Perak,2022,Offensive name-calling,2,Ignored,No action
30,Certification course,Bumble,Penang,2020,Sexual photos,10,Reported to authorities,Warning issued
18,Diploma,Other,Selangor,2022,Spreading sexual rumours,10,Blocked user,User banned
20,Certification course,Facebook,Selangor,2021,discussing their own sex life,8,Reported to platform,still continues
45,Diploma,Facebook,Selangor,2022,Sexual photos,12,Reported to platform,User banned
44,High School,Twitter,Negeri Sembilan,2018,Offensive name-calling,11,Reported to authorities,User banned
43,Secondary School,Bumble,Penang,2020,Indecent exposure,1,Ignored,No action
28,Certification course,Bumble,Sabah,2022,discussing their own sex life,6,Ignored,User banned
24,Diploma,Twitter,Negeri Sembilan,2018,discussing their own sex life,10,Reported to platform,still continues
40,Certification course,TikTok,Perak,2019,Offensive name-calling,2,Ignored,Warning issued
22,Certification course,Twitter,Melaka,2018,Indecent exposure,8,Reported to platform,Warning issued
43,Bachelor's Degree,Tinder,Johor,2018,Making sexual jokes,11,Ignored,Warning issued
43,High School,Other,Kedah,2020,Sexting,3,Blocked user,User banned
36,High School,Instagram,Kedah,2021,discussing their own sex life,9,Reported to authorities,still continues
